,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
29,1,1,-1,2,8,1974,36,5,5,5,2,2,1,7,11,1,3,0,0,1,3,3,4,4,4
30,1,1,1,2,3,1982,28,4,4,3,2,2,1,5,9,1,1,-1,0,1,2,3,4,4,3
31,1,1,1,2,2,1975,35,1,2,1,1,2,4,3,11,1,1,-1,0,1,3,3,3,3,3
32,1,0,3,2,5,1987,23,1,3,3,2,2,1,4,9,0,2,0,0,1,3,2,2,2,3
33,1,1,3,1,2,1986,24,1,2,1,3,2,1,3,5,0,2,-1,0,3,2,2,2,2,-1
34,1,1,3,1,1,1991,19,5,5,5,3,4,3,2,-1,0,2,1,0,3,4,4,4,4,3
35,1,1,1,1,12,1990,20,5,4,2,1,4,1,2,8,0,3,3,0,3,4,4,4,4,5
36,1,1,1,1,1,1987,23,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,1,3,2,-1,1990,20,1,2,1,1,4,5,3,1,0,-1,-1,0,-1,4,3,3,3,3
38,1,1,1,2,8,1988,22,6,6,2,3,2,4,3,4,1,2,1,0,1,3,3,3,3,4
39,1,1,4,2,12,1990,20,3,3,3,2,2,4,2,1,0,2,-1,0,3,1,1,2,3,1
40,1,1,1,2,8,1972,38,5,5,5,4,4,4,3,9,1,-1,-1,0,1,3,2,2,2,3
41,1,1,1,2,8,1992,18,5,5,5,4,4,3,1,1,0,1,1,0,1,2,2,3,3,4
42,1,1,1,2,3,1992,18,3,3,2,2,4,5,1,4,0,2,0,0,2,2,4,2,3,4
43,1,1,1,2,2,1992,18,1,1,1,5,4,3,2,1,0,6,3,0,3,2,3,2,2,2
44,0,0,1,1,1,1986,24,5,5,5,3,2,1,3,9,0,2,-1,0,1,3,3,3,4,4
45,1,1,4,1,1,1967,43,4,2,5,3,2,1,7,10,1,0,1,0,3,3,3,1,2,2
46,1,1,4,1,5,1986,24,5,4,4,1,2,1,5,10,0,2,0,0,2,3,3,2,3,3
47,1,1,4,2,8,1989,21,5,5,4,2,2,1,3,2,0,6,-1,0,1,2,2,2,2,3
48,1,1,3,2,8,1989,21,5,5,5,2,2,1,2,11,0,2,1,0,1,2,3,4,4,3
49,1,0,4,1,5,1988,22,4,3,4,1,2,1,3,7,0,1,-1,0,2,4,3,3,3,1
50,1,1,4,2,7,1989,21,6,6,2,1,3,1,3,10,0,3,-1,0,1,2,2,2,2,2
51,1,1,1,2,2,1966,44,1,1,1,2,2,1,3,-1,0,4,0,0,1,3,3,3,3,4
52,1,1,4,2,3,1987,23,3,3,3,2,2,1,4,-1,-1,-1,-1,-1,2,4,4,4,4,4
54,0,1,1,1,1,1980,30,4,5,5,1,4,3,3,4,0,6,0,0,2,2,2,4,4,5
55,1,1,1,2,2,1976,34,1,2,1,1,3,1,5,11,0,1,2,1,1,4,4,4,4,5
56,0,0,1,1,1,1985,25,5,5,5,1,4,1,3,2,0,3,0,0,2,4,4,4,4,3
57,1,1,4,2,8,1991,19,6,6,5,3,2,3,3,11,0,2,1,0,1,2,2,2,2,3
58,1,0,-1,1,-1,1935,75,-1,1,-1,-1,2,1,-1,2,1,-1,-1,0,1,4,4,4,4,5
59,1,1,1,1,1,1984,26,5,4,5,5,2,1,5,10,1,3,-1,0,1,4,4,4,4,4
60,1,1,3,2,2,1965,45,1,3,1,2,2,1,4,12,1,1,2,0,1,4,3,4,4,4
61,1,1,1,1,4,1953,57,6,4,4,1,2,1,2,4,0,1,-1,1,3,3,3,4,3,3
62,1,0,2,2,2,1986,24,1,1,1,2,2,1,3,10,1,4,-1,0,1,4,4,4,4,4
63,0,0,1,2,3,1981,29,5,2,3,2,4,3,5,8,0,-1,0,0,1,3,4,4,4,3
64,1,1,3,1,1,1977,33,6,6,5,2,3,1,5,9,1,0,-1,-1,1,3,3,3,3,5
65,1,1,4,1,1,1978,32,5,5,4,1,4,3,7,10,1,4,-1,0,3,4,4,4,4,3
66,1,1,1,2,2,1987,23,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,1,1,4,2,7,1961,49,1,1,1,2,2,4,2,11,1,2,-1,0,1,4,4,4,4,4
68,1,1,3,1,6,1972,38,5,5,5,2,2,1,7,11,1,1,-1,1,1,3,4,4,4,4
69,0,0,4,1,1,1984,26,5,4,4,1,2,1,2,2,0,8,-1,0,2,3,3,3,3,3
70,1,1,4,2,2,1986,24,1,1,1,1,2,1,5,2,0,1,0,0,1,3,4,4,4,4
71,1,1,1,2,2,1980,30,1,1,1,2,4,3,5,12,1,2,0,0,1,2,2,2,1,2
72,1,1,1,2,2,1968,42,1,4,1,1,4,3,1,10,0,1,-1,0,3,3,3,3,3,2
73,1,1,4,2,3,1993,17,5,4,4,3,4,4,1,8,0,2,2,0,1,3,4,4,4,4
74,1,1,4,2,5,1992,18,1,1,1,2,4,4,2,11,0,4,-1,0,3,2,2,4,4,2
75,1,-1,1,1,1,1987,23,5,5,5,3,3,1,3,-1,1,1,0,0,1,3,3,3,3,3
76,1,1,4,2,6,1985,25,3,4,1,4,1,2,2,4,0,3,0,0,1,2,3,4,3,4
77,0,0,1,1,1,1969,41,6,4,4,4,3,1,3,8,0,1,-1,0,3,2,4,4,4,2
78,1,1,4,1,3,1986,24,3,3,3,3,3,4,3,2,1,2,0,0,1,4,4,4,4,5
79,1,1,1,2,5,1990,20,2,4,1,1,2,1,3,-1,0,3,-1,0,3,4,4,4,4,3
80,1,1,1,2,12,1967,43,1,1,1,3,2,1,3,9,0,1,1,0,1,4,3,4,4,4
81,1,1,4,1,5,1989,21,5,5,5,2,2,1,3,11,0,2,0,0,1,3,3,3,3,5
82,1,1,1,1,5,1979,31,5,5,5,1,5,3,5,10,1,0,0,0,1,4,4,4,4,5
83,1,1,3,2,8,1961,49,6,5,4,1,1,1,5,7,1,3,1,0,1,4,4,4,4,5
84,1,1,1,1,1,1978,32,5,5,5,1,2,1,7,12,1,0,0,0,1,3,3,3,3,5
85,1,1,-1,1,1,1984,26,5,5,5,1,2,1,6,9,0,1,-1,0,1,3,4,4,4,-1
86,1,1,1,1,1,1981,29,5,5,5,1,2,1,3,7,0,5,-1,0,1,2,2,3,3,3
87,1,0,1,2,5,1986,24,1,2,3,1,2,1,5,12,0,2,0,0,2,4,4,4,4,3
88,1,1,4,2,7,1990,20,6,6,2,4,3,5,3,4,0,3,-1,0,2,4,2,4,3,4
89,1,1,1,2,2,1976,34,1,2,2,2,2,1,6,12,1,1,0,0,1,4,4,3,3,3
90,1,1,4,1,1,1974,36,5,5,5,2,4,5,5,12,1,1,-1,0,1,3,3,3,3,5
91,1,1,4,1,1,1979,31,6,6,5,2,4,1,7,3,1,0,0,0,1,4,4,3,3,4
92,1,1,1,1,1,1988,22,5,5,5,3,1,1,3,1,0,3,-1,0,1,2,2,3,3,4
93,0,0,1,1,1,1972,38,5,5,4,1,2,1,6,7,1,3,1,0,1,4,4,4,4,2
94,1,1,1,2,2,1965,45,1,1,1,1,-1,4,4,8,1,1,-1,0,1,4,4,4,4,3
95,1,1,-1,1,8,1955,55,-1,1,-1,3,2,1,5,12,1,3,-1,1,1,4,4,4,4,5
96,1,1,1,2,2,1981,29,1,2,1,1,2,1,4,9,1,3,-1,0,1,4,4,3,4,4
97,1,1,4,1,1,1969,41,5,4,5,1,2,1,5,11,1,1,-1,0,1,2,3,3,3,2
98,1,1,4,1,1,-1,-1,5,5,5,1,4,4,7,12,1,1,-1,0,1,4,4,4,4,5
99,0,0,4,1,1,1972,38,5,4,5,2,2,1,4,9,0,-1,-1,0,1,3,2,2,2,4
100,1,1,1,1,8,1992,18,1,1,1,1,1,4,1,12,0,4,0,0,1,2,2,3,3,4
101,0,1,1,1,1,1979,31,5,4,5,1,2,3,5,8,0,1,-1,0,1,2,3,3,3,5
102,1,1,1,1,1,1971,39,5,5,5,1,2,3,5,12,1,1,0,0,1,3,3,3,3,5
104,1,1,1,1,1,1968,42,5,5,5,2,2,1,4,10,1,3,-1,0,1,-1,-1,4,-1,4
105,0,0,4,1,1,1989,21,3,6,5,2,2,4,5,1,0,2,-1,0,1,3,3,4,3,4
106,1,1,1,1,1,1971,39,5,5,5,2,2,1,7,12,0,1,0,0,1,4,4,4,4,5
107,1,1,4,1,5,1986,24,5,5,5,2,2,1,5,8,1,3,0,0,3,3,4,4,4,3
108,1,1,1,1,1,1982,28,5,4,4,2,2,1,7,9,0,0,0,0,1,2,2,2,3,2
109,1,1,1,2,8,1988,22,5,5,5,2,2,3,5,4,0,3,0,0,1,3,2,3,3,4
110,1,1,1,1,1,1962,48,5,4,5,2,2,1,5,10,1,0,0,0,1,4,4,4,4,5
111,1,1,1,1,1,1966,44,6,4,4,1,2,1,7,8,1,-1,-1,0,1,3,2,2,3,3
112,1,1,1,1,5,1980,30,4,4,4,1,4,1,7,12,1,1,0,0,2,3,4,3,3,5
113,1,1,1,2,2,1978,32,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,1,1,4,2,2,1981,29,1,4,1,3,2,1,3,7,0,1,-1,1,1,3,3,3,3,4
115,1,1,4,1,1,1989,21,5,5,5,2,2,1,3,4,0,1,0,0,1,3,3,3,3,4
116,1,1,1,1,2,1971,39,1,3,1,4,3,1,3,12,1,2,-1,0,-1,4,4,4,4,4
117,1,1,4,2,2,1990,20,3,4,1,3,4,3,3,7,1,0,0,1,1,3,2,2,2,4
118,1,1,4,2,3,1968,42,1,3,1,2,2,1,3,8,1,6,3,1,1,3,3,3,3,4
119,1,1,1,1,1,1978,32,5,5,5,2,2,1,4,10,0,0,-1,0,1,3,3,3,3,3
120,0,0,4,1,3,1985,25,5,5,3,2,4,1,5,3,1,3,-1,0,1,3,3,3,3,3
121,1,1,1,2,2,1978,32,1,2,1,3,2,1,7,8,1,1,-1,0,3,4,4,4,4,3
122,1,1,4,2,5,1989,21,1,1,2,2,2,1,2,10,0,2,0,0,1,3,3,3,3,4
123,1,1,1,2,8,1986,24,5,5,5,3,3,1,5,8,0,3,0,0,2,4,4,4,4,3
124,1,1,1,1,1,-1,-1,5,5,5,1,5,-1,7,9,1,4,-1,0,3,4,4,3,3,3
125,1,1,1,1,1,1961,49,6,4,4,1,2,1,5,11,1,-1,-1,0,1,4,4,2,2,4
126,1,1,4,2,3,1983,27,5,5,4,2,2,1,5,12,1,6,-1,0,1,4,4,4,4,4
127,1,1,4,2,2,1982,28,1,1,1,2,4,1,7,11,0,1,0,1,2,3,4,3,3,-1
128,1,1,3,2,8,1991,19,5,5,5,3,4,3,3,10,0,1,0,0,1,3,4,4,4,5
129,1,1,1,2,3,1970,40,4,4,3,2,4,3,3,10,1,1,-1,0,1,4,4,4,4,3
130,1,1,1,2,5,1980,30,4,4,4,2,3,1,6,12,1,2,-1,0,1,3,3,4,4,4
131,1,1,-1,2,2,1987,23,1,2,1,2,3,1,4,10,1,4,2,0,1,4,4,4,4,5
132,1,1,1,2,5,1988,22,6,5,5,1,4,1,3,1,0,-1,-1,0,2,2,2,1,2,2
133,1,1,4,1,1,1990,20,5,5,5,1,2,1,3,9,0,5,-1,0,1,4,4,4,4,3
134,1,1,1,2,12,1956,54,5,5,4,1,2,1,5,8,1,1,1,0,1,1,1,1,1,3
135,1,1,1,2,8,1979,31,5,5,5,4,3,1,4,10,1,1,0,0,1,4,4,4,4,4
136,1,0,4,2,8,1983,27,5,5,5,2,4,1,7,10,0,3,-1,0,1,4,4,4,4,5
137,1,1,1,1,1,1988,22,5,5,5,2,2,1,3,1,0,3,-1,0,2,4,4,4,4,5
138,1,1,1,2,2,1974,36,1,1,2,1,4,1,7,10,1,1,0,0,1,3,3,3,3,2
139,1,1,4,2,8,1985,25,5,5,4,4,1,3,5,11,1,3,-1,0,1,4,4,4,4,4
141,1,1,1,2,12,1983,27,3,2,3,1,2,1,3,7,0,2,1,0,2,4,4,4,4,3
142,1,1,4,1,1,1987,23,5,4,5,2,4,1,5,1,1,2,0,0,1,3,3,3,3,3
143,1,1,1,2,2,1984,26,1,1,1,3,-1,1,3,9,0,5,1,0,1,3,3,3,3,4
144,0,0,1,1,8,1973,37,5,5,5,2,3,1,2,8,1,6,0,0,3,3,3,2,3,3
145,1,1,1,1,12,1982,28,5,5,4,1,3,1,5,7,0,0,0,0,3,4,4,4,4,4
146,1,1,4,2,2,1987,23,1,1,1,2,2,1,4,10,0,5,2,0,1,3,3,3,3,4
147,0,0,1,1,1,1987,23,4,4,2,2,2,1,5,6,0,1,-1,0,1,3,3,2,2,3
148,1,1,4,2,2,1974,36,1,2,1,2,2,1,3,10,1,2,2,0,1,4,4,4,4,5
149,1,0,1,2,5,1982,28,1,1,2,1,2,1,5,10,1,1,0,0,1,2,2,2,2,3
150,1,1,1,1,5,1987,23,6,4,4,2,4,4,2,4,0,1,-1,0,1,1,2,2,2,3
151,1,1,4,2,3,1989,21,6,6,2,1,4,4,4,1,0,6,1,0,1,4,3,4,4,4
152,0,1,4,1,8,1986,24,1,1,1,1,4,1,7,8,0,-1,-1,0,1,4,4,4,4,5
153,1,1,4,2,2,1988,22,1,1,1,2,2,1,2,1,0,1,2,0,1,2,4,3,3,3
154,1,1,1,1,1,1986,24,5,4,5,2,1,1,5,10,0,1,0,0,2,4,4,4,4,5
155,0,0,3,1,2,1976,34,6,1,1,2,3,1,5,12,1,1,0,0,1,4,3,4,3,4
156,0,1,1,2,5,1983,27,4,4,3,1,3,1,5,8,1,1,-1,0,1,4,3,3,3,4
157,1,1,1,1,1,1991,19,5,5,5,-1,4,3,2,1,0,2,1,0,3,3,3,3,3,5
158,1,1,4,1,4,1991,19,6,6,5,4,-1,3,3,6,0,8,-1,0,1,4,4,3,4,5
159,1,1,1,1,8,1973,37,5,5,5,1,4,1,6,10,0,4,0,0,1,4,4,4,4,4
160,1,1,1,1,12,1993,17,3,3,3,2,4,3,1,1,0,2,1,0,1,3,3,3,4,3
161,0,1,2,1,5,1964,46,6,4,5,-1,1,1,4,1,0,2,0,0,2,2,3,4,1,2
162,1,1,1,2,3,1979,31,1,4,3,2,4,5,7,8,0,0,0,0,1,3,3,3,3,3
163,1,-1,1,2,2,1960,50,1,1,1,2,4,4,4,9,0,1,1,0,1,3,3,4,4,3
164,1,1,1,1,1,1975,35,4,4,4,1,2,1,5,9,0,-1,-1,-1,1,2,2,2,2,2
165,1,1,1,2,2,1951,59,1,2,1,1,3,1,4,11,1,1,-1,0,1,4,4,4,4,4
166,1,1,1,2,2,1983,27,1,1,1,3,4,4,3,10,1,1,-1,0,1,3,3,4,4,3
167,1,1,1,2,2,1957,53,1,1,1,1,2,1,3,11,1,1,-1,0,1,4,4,4,4,4
168,1,1,1,2,2,1985,25,1,2,1,1,2,1,4,4,0,1,-1,0,1,2,2,2,2,3
169,1,1,1,1,1,1963,47,5,5,5,2,3,1,4,8,1,0,0,0,1,3,2,4,4,4
170,1,1,1,1,12,1957,53,5,5,5,3,2,1,2,8,1,2,-1,0,1,4,4,3,4,3
171,1,1,1,1,4,1952,58,6,5,5,1,2,1,4,7,0,0,0,0,1,-1,4,4,4,3
172,0,0,3,1,4,1974,36,5,4,5,1,2,1,5,8,0,2,-1,0,3,4,2,2,2,3
173,1,1,1,2,1,1964,46,1,1,1,2,2,1,2,8,1,4,-1,0,1,3,2,3,2,3
174,0,0,1,2,8,1983,27,4,4,5,4,1,2,3,1,0,2,-1,0,1,3,3,3,3,2
175,1,1,1,2,3,1978,32,3,4,3,1,2,1,7,12,1,3,0,0,1,4,4,4,4,4
176,1,1,4,1,1,1955,55,6,5,5,4,2,1,3,3,1,-1,-1,0,1,4,4,3,3,3
177,1,1,4,2,3,1984,26,1,2,1,2,1,1,5,10,0,2,0,0,1,4,4,4,4,3
178,0,0,4,2,3,1973,37,1,4,4,2,4,5,7,10,0,1,-1,0,1,3,3,3,3,4
179,1,1,4,2,3,1995,15,1,1,2,1,4,4,1,1,0,1,-1,0,2,4,4,3,3,4
180,0,0,1,2,12,1982,28,3,4,3,-1,5,3,7,5,1,1,-1,1,2,2,1,3,4,4
181,0,0,1,2,1,1980,30,1,4,1,2,2,1,5,9,0,1,-1,0,3,3,3,3,4,3
182,1,1,3,1,1,1978,32,5,5,5,2,2,1,3,8,0,-1,-1,0,-1,2,3,2,2,4
183,1,0,4,1,7,1941,69,4,4,5,1,2,1,6,10,1,1,-1,0,1,4,3,3,4,5
184,1,1,4,1,1,1988,22,6,5,5,3,2,1,3,2,0,1,-1,0,3,4,3,4,4,2
185,1,1,1,1,1,1958,52,5,5,5,3,2,1,7,12,1,0,0,0,1,4,3,3,3,3
186,1,1,3,2,5,1985,25,3,4,2,1,3,1,4,3,0,2,-1,0,1,2,3,2,2,4
187,1,1,1,2,2,1971,39,6,1,1,-1,3,3,3,9,1,2,-1,-1,1,1,3,4,4,5
188,1,1,1,1,1,1971,39,5,5,5,2,2,1,5,8,0,0,0,0,1,3,2,3,3,3
189,1,1,1,2,7,1989,21,1,1,1,2,3,1,3,5,1,0,0,1,2,4,4,4,4,5
190,1,1,1,2,-1,1991,19,-1,5,5,5,2,4,-1,1,0,2,-1,0,1,3,3,3,3,2
191,1,1,2,2,12,1964,46,1,2,2,1,2,3,5,8,0,1,-1,0,1,4,3,3,3,3
192,1,1,3,2,5,1980,30,5,3,3,2,2,1,7,7,1,1,0,0,3,3,2,3,3,3
193,1,1,4,2,2,1990,20,1,4,1,2,2,1,3,11,0,2,2,0,1,4,4,4,4,4
194,1,1,4,1,1,1957,53,5,5,5,2,4,1,-1,10,1,2,-1,-1,1,2,2,2,2,3
195,1,1,4,2,5,1989,21,3,2,2,2,2,1,3,12,0,4,-1,0,1,2,2,2,2,4
196,1,1,4,1,8,1990,20,6,4,4,5,4,1,3,7,0,2,2,0,1,1,1,1,1,5
197,0,0,4,2,8,1976,34,1,3,1,2,2,1,7,10,0,1,0,0,1,4,3,2,2,3
198,1,1,1,1,1,1980,30,5,4,4,1,2,1,7,10,1,2,2,0,3,4,3,3,3,4
199,1,1,1,1,1,1979,31,4,4,4,1,4,1,7,2,0,-1,-1,0,1,4,4,4,4,4
200,1,1,1,1,1,1979,31,5,5,5,2,4,4,6,1,0,1,-1,0,1,2,2,2,2,3
201,1,1,-1,1,1,1982,28,5,5,5,2,2,1,7,1,0,1,0,0,1,4,4,3,3,5
202,1,1,1,2,2,1941,69,6,3,1,1,5,-1,7,6,1,3,-1,0,1,4,3,2,3,2
203,1,1,-1,2,-1,1987,23,4,4,4,3,4,3,5,6,0,2,0,0,1,4,4,4,4,5
204,1,1,4,2,2,1961,49,1,4,1,1,2,1,7,12,1,2,0,0,1,4,4,4,4,5
205,1,1,4,1,1,1980,30,5,5,5,1,4,5,7,9,0,0,0,0,3,4,4,4,4,5
206,1,1,1,1,5,1980,30,5,5,4,2,2,1,7,1,1,4,-1,0,1,2,2,2,2,2
207,1,1,4,2,6,1985,25,6,6,5,4,4,2,2,7,0,4,-1,0,1,3,2,2,2,3
208,1,1,1,2,8,1985,25,5,5,5,3,4,4,2,10,1,3,-1,0,1,2,3,4,4,4
209,1,1,4,1,1,1981,29,5,5,5,2,2,5,5,7,0,1,-1,0,1,2,2,3,3,3
210,1,1,1,2,8,-1,-1,5,5,5,1,4,1,3,8,0,3,-1,0,1,4,4,4,4,4
211,1,1,1,2,8,1989,21,5,5,5,2,2,1,2,12,0,2,1,0,1,2,3,3,3,3
212,1,1,-1,1,8,1989,21,6,2,1,2,4,4,2,1,0,3,-1,0,1,4,4,4,-1,5
213,1,1,1,2,2,1976,34,1,3,1,2,3,1,7,12,1,0,0,0,1,4,4,4,4,5
214,1,1,4,2,5,1989,21,1,1,3,2,2,1,3,12,1,4,-1,0,1,4,3,3,4,3
215,1,1,1,2,5,1979,31,1,2,1,1,2,1,6,10,1,1,-1,0,1,4,4,4,4,5
216,1,1,1,1,1,1990,20,5,5,5,2,4,4,3,1,0,2,2,0,1,4,3,4,4,4
217,1,0,1,1,1,1988,22,6,5,5,2,2,1,3,7,0,2,0,0,1,2,2,2,2,4
218,1,1,4,1,5,1991,19,6,6,4,1,2,3,2,8,0,2,2,0,1,2,2,4,4,2
219,1,0,1,1,5,1978,32,5,5,5,1,5,1,7,9,1,1,0,0,1,4,4,4,3,5
220,1,1,4,1,5,1986,24,6,5,5,1,2,1,5,9,0,3,-1,0,1,2,2,2,3,2
221,1,1,1,2,2,1976,34,1,2,1,3,2,1,5,11,1,-1,-1,0,3,4,3,3,2,3
222,1,1,1,2,5,1974,36,1,1,1,3,4,1,5,11,1,2,-1,0,1,3,3,3,4,5
223,1,0,4,1,5,1986,24,5,4,4,1,2,1,5,8,1,1,-1,0,1,3,4,4,4,4
224,1,1,1,1,1,1977,33,5,4,5,1,4,5,7,10,0,3,0,0,1,4,4,3,2,4
225,1,1,1,2,2,1966,44,1,1,1,2,2,1,5,-1,1,-1,-1,0,1,4,4,3,3,3
226,1,1,3,2,8,1957,53,5,5,5,2,2,1,5,8,1,1,-1,0,1,4,3,3,3,3
227,1,1,1,1,1,1966,44,5,5,5,3,2,1,7,10,1,0,0,-1,1,2,2,2,2,3
228,1,0,1,2,5,1985,25,2,4,1,2,2,1,5,10,1,1,0,0,1,4,4,4,4,3
229,0,0,1,2,2,1983,27,1,2,2,2,2,1,5,4,0,1,-1,0,1,2,4,3,4,3
230,1,1,1,2,6,1981,29,4,4,4,1,4,4,7,8,0,3,0,0,2,4,4,4,4,5
231,1,1,-1,2,12,1992,18,6,6,4,2,4,4,2,-1,0,2,1,-1,1,2,2,3,3,4
232,1,1,4,1,1,1975,35,6,5,5,3,4,1,6,7,1,1,-1,-1,1,2,2,2,2,3
233,1,1,4,2,3,1989,21,4,3,2,2,4,1,3,2,1,0,0,0,1,4,4,4,4,5
234,1,0,4,1,1,1970,40,6,5,5,2,4,3,7,12,1,0,0,0,1,3,2,3,3,5
235,1,1,1,2,2,1980,30,1,2,1,1,2,1,5,8,1,1,-1,0,2,3,3,3,3,3
236,1,1,4,-1,3,1984,26,2,1,2,1,2,1,5,8,1,1,-1,0,1,3,3,3,3,4
237,0,0,4,1,3,1983,27,6,6,3,2,3,3,5,8,0,1,0,1,2,2,2,2,2,5
238,1,1,3,2,7,1989,21,1,2,1,3,2,3,3,4,0,2,-1,0,1,4,4,4,4,4
239,0,0,3,1,-1,1991,19,2,2,3,2,4,3,1,8,0,2,0,0,2,-1,3,3,4,4
240,1,1,1,1,8,1988,22,6,6,2,2,2,1,5,1,0,3,0,0,1,2,2,2,2,2
241,1,1,1,1,8,1989,21,6,6,2,3,2,3,2,1,0,3,1,0,1,1,1,1,1,1
242,0,0,4,1,1,1985,25,6,6,5,2,2,1,5,10,0,3,1,0,1,3,3,3,3,5
243,1,1,1,1,1,1970,40,5,5,5,2,5,1,7,12,1,1,-1,0,1,4,2,2,3,3
244,0,0,1,1,1,1979,31,6,5,5,2,2,1,4,-1,-1,3,-1,0,1,4,2,3,3,5
245,1,1,4,2,2,1990,20,1,2,1,1,4,1,3,-1,0,2,-1,0,2,2,3,3,3,2
246,1,1,1,2,2,1974,36,1,1,1,3,2,1,7,12,1,1,1,0,1,4,4,4,4,5
247,1,0,4,1,8,1990,20,6,6,1,4,4,3,5,1,0,1,0,0,1,4,4,4,4,4
248,1,1,3,2,5,1957,53,1,4,1,1,2,1,7,10,0,1,0,0,1,3,2,3,3,1
249,-1,-1,-1,-1,2,1978,32,1,1,1,3,3,1,7,10,1,0,0,0,1,4,3,3,4,4
250,1,0,4,2,2,1986,24,1,3,1,3,2,1,5,3,0,0,0,0,2,2,3,3,3,3
251,1,0,4,2,5,1987,23,1,3,2,1,2,1,6,12,0,3,0,0,1,3,2,2,2,3
252,1,1,1,2,2,1982,28,1,1,2,2,2,1,5,8,0,3,-1,0,2,4,4,3,3,3
253,1,1,4,1,1,1987,23,5,5,5,1,2,1,6,1,0,1,0,0,1,4,4,4,4,4
254,1,1,2,2,2,1991,19,1,2,1,2,3,5,3,8,0,1,-1,0,-1,2,3,2,2,4
255,1,1,1,2,3,1976,34,1,4,3,4,2,1,2,8,0,2,4,0,3,2,2,2,2,2
256,1,1,1,2,2,1971,39,1,2,2,2,4,4,3,7,1,1,2,0,1,3,2,3,2,5
