,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
577,6,3,3,1,1,1,1,1,6,6,4,6,3,5,3,1,1,1,1,1,1,2,3,4,4,1,2,2,3,2,3,1,3,1,2,2,1,1,1,1,1,1,1,1,-1,3,1,1,5,5,5,8,5,5,5,2,4,5,12,4,5,1,1,1,2,7,1987,23,1,2,2,1,4,1,4,2,0,1,-1,0,2,4,4,2,3,4
578,2,6,4,1,1,1,2,1,2,6,5,6,2,4,4,-1,1,1,1,1,2,2,3,2,4,2,4,2,3,4,2,2,4,1,1,1,1,1,1,4,4,4,4,4,8,2,2,5,5,4,5,5,4,2,3,5,5,6,16,1,5,1,1,4,2,2,1971,39,-1,1,1,2,3,1,7,8,1,0,0,0,1,3,3,2,2,3
579,1,1,4,3,3,1,4,1,4,2,4,5,6,5,6,2,1,2,1,1,1,2,4,3,4,1,3,2,2,3,4,1,3,2,3,3,4,1,3,3,3,3,3,3,8,7,4,8,4,3,4,1,4,2,5,4,4,3,17,3,3,0,1,2,2,3,1990,20,2,4,3,3,2,1,2,1,0,-1,-1,0,2,2,3,3,3,3
580,2,5,4,3,3,1,6,1,6,5,2,6,5,6,6,2,2,2,2,2,2,2,3,2,6,1,2,3,5,4,6,1,3,2,3,1,5,1,1,4,4,3,4,4,8,8,1,4,6,4,5,4,5,5,5,2,1,5,15,2,1,0,0,4,2,2,1988,22,1,2,1,2,2,1,3,8,0,2,4,0,1,1,4,4,4,4
581,3,3,6,2,2,1,5,1,6,6,6,6,2,4,3,1,1,3,1,1,1,3,3,6,6,4,3,3,3,6,6,3,3,2,3,6,6,2,2,2,3,1,3,4,1,7,7,1,6,1,3,1,2,2,3,1,2,1,1,1,4,1,1,3,1,12,1991,19,1,1,1,6,2,3,2,1,0,2,1,0,2,-1,-1,-1,-1,3
582,1,7,7,1,1,1,1,1,1,1,3,5,1,1,1,2,1,1,1,2,1,1,2,5,6,4,2,1,4,6,6,5,2,1,4,5,6,-1,2,3,3,2,3,3,8,8,4,4,1,5,5,5,5,1,1,4,1,1,-1,4,2,1,1,1,2,12,1987,23,5,5,5,3,2,1,3,7,0,3,1,0,1,3,3,3,3,4
583,1,7,7,2,2,1,1,1,3,4,2,4,2,1,2,1,1,1,1,8,1,1,4,6,6,1,2,1,1,6,6,1,2,1,1,6,6,1,2,1,1,1,1,1,1,3,2,1,4,4,5,5,5,5,5,3,3,3,10,2,3,0,0,4,2,1,1991,19,1,1,1,2,4,4,3,8,1,5,0,0,2,3,4,4,2,2
584,3,6,6,2,2,0,3,0,4,3,3,3,5,5,6,2,3,2,2,2,2,1,1,4,6,5,6,4,4,6,5,5,6,6,6,6,6,6,6,3,4,3,3,3,1,1,4,5,6,4,4,4,1,2,3,6,1,1,16,5,6,1,1,4,1,3,1991,19,3,2,2,5,2,3,3,1,0,3,2,0,1,4,4,4,4,5
585,6,4,6,3,2,1,2,1,6,2,2,3,3,3,3,1,1,1,1,1,1,2,4,6,6,3,3,2,4,6,6,3,3,3,3,3,5,3,2,4,4,4,4,4,2,8,4,6,4,4,4,4,1,2,2,5,3,4,10,3,3,0,1,1,1,7,1967,43,5,4,5,1,3,1,7,9,1,-1,-1,0,2,4,4,4,4,4
586,2,1,1,1,1,1,3,1,1,6,3,4,1,5,5,1,1,1,1,1,1,1,4,4,1,4,2,2,1,2,5,3,2,4,4,1,5,3,2,4,4,4,4,4,8,8,4,1,5,5,2,4,2,2,2,6,1,1,16,2,6,1,1,4,2,2,1947,63,6,2,1,2,2,1,7,6,1,-1,-1,0,1,4,4,4,4,3
